Name,Specialization,ID,school,year,Generation,advisor_id
Carl Gustav Jacob Jacobi,artificial-intelligence-and-machine-learning,15635,Humboldt-Universität zu Berlin,1825,10,41423
Carl Gustav Jacob Jacobi,artificial-intelligence-and-machine-learning,15635,Humboldt-Universität zu Berlin,1825,10,41423
Abraham Gottlob Werner,artificial-intelligence-and-machine-learning,124285,Universität Leipzig,1774,10,124490
René Just Haüy,artificial-intelligence-and-machine-learning,124286,,D.,10,None
Friedrich  Stromeyer,artificial-intelligence-and-machine-learning,123979,Georg-August-Universität Göttingen,1800,10,158571;76485;
Nicolas Louis Vauquelin,artificial-intelligence-and-machine-learning,158571,,,10,158735
Johann Friedrich Gmelin,artificial-intelligence-and-machine-learning,76485,Eberhard-Karls-Universität Tübingen,1768,10,76484;123957;
Carl Friedrich Gauß,artificial-intelligence-and-machine-learning,18231,Universität Helmstedt,1799,10,18230
Georg Christoph Lichtenberg,artificial-intelligence-and-machine-learning,65161,Georg-August-Universität Göttingen,1765,10,66476
Abraham Gotthelf Kästner,artificial-intelligence-and-machine-learning,66476,Universität Leipzig,1739,10,57670
Antoine Francois de Fourcroy,artificial-intelligence-and-machine-learning,158735,Université de Paris,ris,10,158900
Leonhard  Euler,artificial-intelligence-and-machine-learning,38586,Universität Basel,1726,10,53410
Giovanni Battista (Giambattista) Beccaria,artificial-intelligence-and-machine-learning,146036,,,10,None
Jean Le Rond d'Alembert,artificial-intelligence-and-machine-learning,108266,Collège Mazarin,1735,10,None
Georg Christoph Lichtenberg,artificial-intelligence-and-machine-learning,65161,Georg-August-Universität Göttingen,1765,10,66476
Abraham Gotthelf Kästner,artificial-intelligence-and-machine-learning,66476,Universität Leipzig,1739,10,57670
Johann Friedrich Pfaff,artificial-intelligence-and-machine-learning,18230,Georg-August-Universität Göttingen,1786,10,66476;127710;
Abraham Gotthelf Kästner,artificial-intelligence-and-machine-learning,66476,Universität Leipzig,1739,10,57670
